Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Loan_Status,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,log_loan_Amount,total_income,log_total_income
1,0,0,0,0,1.0,2,1,5849.0,0.0,146.41216216216216,360.0,4.986425672954842,5849.0,8.674025985443025
1,1,1,0,0,1.0,0,0,4583.0,1508.0,128.0,360.0,4.852030263919617,6091.0,8.714567550836485
1,1,0,0,1,1.0,2,1,3000.0,0.0,66.0,360.0,4.189654742026425,3000.0,8.006367567650246
1,1,0,1,0,1.0,2,1,2583.0,2358.0,120.0,360.0,4.787491742782046,4941.0,8.50532301884575
1,0,0,0,0,1.0,2,1,6000.0,0.0,141.0,360.0,4.948759890378168,6000.0,8.699514748210191
1,1,2,0,1,1.0,2,1,5417.0,4196.0,267.0,360.0,5.58724865840025,9613.0,9.170871628065816
1,1,0,1,0,1.0,2,1,2333.0,1516.0,95.0,360.0,4.553876891600541,3849.0,8.255568653283746
1,1,3,0,0,0.0,1,0,3036.0,2504.0,158.0,360.0,5.062595033026967,5540.0,8.61974977974133
1,1,2,0,0,1.0,2,1,4006.0,1526.0,168.0,360.0,5.123963979403259,5532.0,8.61830469278465
1,1,1,0,0,1.0,1,0,12841.0,10968.0,349.0,360.0,5.855071922202427,23809.0,10.077818939438902
1,1,2,0,0,1.0,2,1,3200.0,700.0,70.0,360.0,4.248495242049359,3900.0,8.268731832117737
1,1,2,0,0,1.0,2,1,2500.0,1840.0,109.0,360.0,4.691347882229144,4340.0,8.375629627094451
1,1,2,0,0,1.0,2,1,3073.0,8106.0,200.0,360.0,5.298317366548036,11179.0,9.321792297270326
1,0,0,0,0,1.0,0,0,1853.0,2840.0,114.0,360.0,4.736198448394496,4693.0,8.453827315794417
1,1,2,0,0,1.0,2,1,1299.0,1086.0,17.0,120.0,2.833213344056216,2385.0,7.776954403322442
1,0,0,0,0,1.0,2,1,4950.0,0.0,125.0,360.0,4.8283137373023015,4950.0,8.507142855562735
1,0,1,1,0,1.0,2,1,3596.0,0.0,100.0,240.0,4.605170185988092,3596.0,8.18757739559151
0,0,0,0,0,0.0,2,0,3510.0,0.0,76.0,360.0,4.330733340286331,3510.0,8.163371316459912
1,1,0,1,0,1.0,0,0,4887.0,0.0,133.0,360.0,4.890349128221754,4887.0,8.494333897270154
1,1,0,0,0,1.0,2,1,2600.0,3500.0,115.0,342.0,4.74493212836325,6100.0,8.716044050161402
1,1,0,1,0,0.0,2,0,7660.0,0.0,104.0,360.0,4.6443908991413725,7660.0,8.943767262734637
1,1,1,0,0,1.0,2,1,5955.0,5625.0,315.0,360.0,5.752572638825633,11580.0,9.357034751126989
1,1,0,1,0,0.0,1,0,2600.0,1911.0,116.0,360.0,4.7535901911063645,4511.0,8.414274137408396
1,1,2,1,0,0.0,0,0,3365.0,1917.0,112.0,360.0,4.718498871295094,5282.0,8.572060092857077
1,1,1,0,0,1.0,1,0,3717.0,2925.0,151.0,360.0,5.017279836814924,6642.0,8.801168401936692
1,1,0,0,1,1.0,1,1,9560.0,0.0,191.0,360.0,5.25227342804663,9560.0,9.165343006045449
1,1,0,0,0,1.0,1,1,2799.0,2253.0,122.0,360.0,4.804021044733257,5052.0,8.527539483470381
1,1,2,1,0,1.0,2,1,4226.0,1040.0,110.0,360.0,4.700480365792417,5266.0,8.569026340056254
1,0,0,1,0,1.0,2,0,1442.0,0.0,35.0,360.0,3.555348061489413,1442.0,7.273786317844895
0,0,2,0,0,1.0,1,1,3750.0,2083.0,120.0,360.0,4.787491742782046,5833.0,8.671286726753637
1,1,1,0,0,1.0,2,0,4166.0,3369.0,201.0,360.0,5.303304908059076,7535.0,8.927314111060596
1,0,0,0,0,1.0,2,0,3167.0,0.0,74.0,360.0,4.30406509320417,3167.0,8.06054004653864
1,0,1,0,1,1.0,0,0,4692.0,0.0,106.0,360.0,4.663439094112067,4692.0,8.453614209773367
1,1,0,0,0,1.0,1,1,3500.0,1667.0,114.0,360.0,4.736198448394496,5167.0,8.550047528287184
1,0,3,0,0,1.0,0,0,12500.0,3000.0,320.0,360.0,5.768320995793772,15500.0,9.64859530290734
1,1,0,0,0,1.0,2,1,2275.0,2067.0,146.41216216216216,360.0,4.986425672954842,4342.0,8.376090350438238
1,1,0,0,0,0.0,2,0,1828.0,1330.0,100.0,342.0,4.605170185988092,3158.0,8.057694194815587
0,1,0,0,0,1.0,1,1,3667.0,1459.0,144.0,360.0,4.969813299576001,5126.0,8.542080906924017
1,0,0,0,0,1.0,2,1,4166.0,7210.0,184.0,360.0,5.214935757608986,11376.0,9.339261152043022
1,0,0,1,0,1.0,1,1,3748.0,1668.0,110.0,360.0,4.700480365792417,5416.0,8.59711281459211
1,0,0,0,0,1.0,2,0,3600.0,0.0,80.0,360.0,4.382026634673881,3600.0,8.1886891244442
1,0,0,0,0,1.0,2,1,1800.0,1213.0,47.0,360.0,3.8501476017100575,3013.0,8.0106915391303
1,1,0,0,0,1.0,2,1,2400.0,0.0,75.0,360.0,4.31748811353631,2400.0,7.783224016336037
1,1,0,0,0,1.0,1,1,3941.0,2336.0,134.0,360.0,4.897839799950911,6277.0,8.744647438317532
1,1,0,1,1,1.0,2,1,4695.0,0.0,96.0,342.0,4.564348191467836,4695.0,8.454253391642363
0,0,0,0,0,1.0,2,1,3410.0,0.0,88.0,342.0,4.477336814478207,3410.0,8.134467570277563
1,1,1,0,0,1.0,2,1,5649.0,0.0,44.0,360.0,3.784189633918261,5649.0,8.639233817325263
